,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
344,13.0,124.0,333.0,C,11.0,3.0,1784.0,Joseph,Sayers (deceased),,12.0,31,1781.0,432.0,71.0,2.0,,,,,,Cancelled being over drawn
345,13.0,124.0,334.0,D,11.0,3.0,1784.0,Jonathan,Townsend,,8.0,8,1782.0,2089.0,76.0,2.0,7.0,20.0,1755.0,1.0,No 25,
346,13.0,124.0,335.0,E,11.0,3.0,1784.0,Stutely,Wyatt,,9.0,14,1780.0,3.0,,,5.0,3.0,1785.0,1.0,1100,
347,13.0,124.0,336.0,G,11.0,3.0,1784.0,Jonathan,Fairbanks,,2.0,24,1780.0,12.0,30.0,3.0,12.0,21.0,1785.0,1.0,LO 128.430,
348,13.0,124.0,337.0,H,11.0,3.0,1784.0,Thomas,Aldrich,,11.0,30,1778.0,16.0,81.0,5.0,12.0,21.0,1785.0,1.0,LO 128.430,
349,13.0,124.0,338.0,I,11.0,10.0,1784.0,John,Wheaton,,12.0,1,1779.0,3.0,42.0,2.0,11.0,15.0,1784.0,1.0,LO 57.178,
350,,,,,,,,,,,,,,24738.0,33.0,7.0,,,,,,
351,14.0,125.0,339.0,L,11.0,10.0,1784.0,John,Wheaton,,3.0,14,1780.0,18.0,34.0,,11.0,15.0,1784.0,1.0,LO 57.178,
352,14.0,125.0,340.0,R,11.0,10.0,1784.0,Frances,Garder,,4.0,16,1782.0,5.0,,,1.0,4.0,1785.0,1.0,190.527,
353,14.0,125.0,341.0,P,11.0,10.0,1784.0,John,Jenkins,,10.0,25,1780.0,42.0,30.0,,1.0,11.0,1785.0,1.0,RO,
354,14.0,125.0,342.0,N,11.0,10.0,1784.0,Thomas,Tillinghast,,1.0,1,1780.0,72.0,,,12.0,17.0,1784.0,1.0,LO 190.517,
355,14.0,125.0,343.0,A,11.0,10.0,1784.0,Richard,Fry,,5.0,1,1780.0,26.0,76.0,7.0,12.0,17.0,1784.0,1.0,336,
356,14.0,125.0,344.0,B,11.0,10.0,1784.0,Richard,Fry,,8.0,1,1780.0,232.0,22.0,4.0,12.0,17.0,1784.0,1.0,RO,
357,14.0,125.0,345.0,C,11.0,10.0,1784.0,William,Love,,1.0,8,1782.0,5.0,,,12.0,17.0,1784.0,1.0,5381,
358,14.0,125.0,346.0,G,11.0,10.0,1784.0,Pardon,Thornton,,8.0,1,1781.0,16.0,,,4.0,27.0,1785.0,1.0,LO 236.557,
359,14.0,125.0,347.0,E,11.0,10.0,1784.0,William,Billings,,10.0,4,1779.0,1.0,,,11.0,15.0,1784.0,1.0,552,
360,14.0,125.0,348.0,D,11.0,10.0,1784.0,William,Billings,,11.0,30,1781.0,266.0,15.0,,11.0,15.0,1784.0,1.0,776,
